group	variable	value
4/16/17	NL	0.31
4/16/17	NO	0.44
4/16/17	NZ	0.52
4/16/17	PA	0.49
4/16/17	PE	0.54
4/16/17	PH	0.56
4/16/17	PL	0.48
4/16/17	PT	0.46
4/16/17	PY	0.49
4/16/17	SE	0.38
4/16/17	SG	0.52
4/16/17	SV	0.48
4/16/17	TR	0.48
4/16/17	TW	0.36
4/16/17	US	0.36
4/16/17	UY	0.54
4/23/17	AR	0.48
4/23/17	AT	0.4
4/23/17	AU	0.47
4/23/17	BE	0.38
4/23/17	BO	0.43
4/23/17	BR	0.53
4/23/17	CA	0.37
4/23/17	CH	0.42
4/23/17	CL	0.45
4/23/17	CO	0.52
4/23/17	CR	0.53
4/23/17	CZ	0.43
4/23/17	DE	0.36
4/23/17	DK	0.36
4/23/17	DO	0.49
4/23/17	EC	0.56
4/23/17	ES	0.45
4/23/17	FI	0.28
4/23/17	FR	0.35
4/23/17	GB	0.38
4/23/17	GLOBAL	0.45
4/23/17	GR	0.11
4/23/17	GT	0.44
4/23/17	HK	0.51
4/23/17	HN	0.47
4/23/17	HU	0.38
4/23/17	ID	0.51
4/23/17	IE	0.4
4/23/17	IS	0.2
4/23/17	IT	0.41
4/23/17	JP	0.21
4/23/17	MX	0.56
4/23/17	MY	0.51
4/23/17	NL	0.3
4/23/17	NO	0.36
4/23/17	NZ	0.5
4/23/17	PA	0.47
4/23/17	PE	0.54
4/23/17	PH	0.57
4/23/17	PL	0.47
4/23/17	PT	0.47
4/23/17	PY	0.48
4/23/17	SE	0.4
4/23/17	SG	0.52
4/23/17	SV	0.45
4/23/17	TR	0.47
4/23/17	TW	0.33
4/23/17	US	0.37
4/23/17	UY	0.52
4/30/17	AR	0.47
4/30/17	AT	0.39
4/30/17	AU	0.46
4/30/17	BE	0.34
4/30/17	BO	0.4
4/30/17	BR	0.48
4/30/17	CA	0.35
4/30/17	CH	0.36
4/30/17	CL	0.43
4/30/17	CO	0.51
4/30/17	CR	0.53
4/30/17	CZ	0.35
4/30/17	DE	0.36
4/30/17	DK	0.36
4/30/17	DO	0.46
4/30/17	EC	0.54
4/30/17	ES	0.45
4/30/17	FI	0.27
4/30/17	FR	0.32
4/30/17	GB	0.37
4/30/17	GLOBAL	0.41
4/30/17	GR	0.13
4/30/17	GT	0.43
4/30/17	HK	0.48
4/30/17	HN	0.46
4/30/17	HU	0.36
4/30/17	ID	0.48
4/30/17	IE	0.38
4/30/17	IS	0.18
4/30/17	IT	0.4
4/30/17	JP	0.21
4/30/17	MX	0.54
4/30/17	MY	0.49
4/30/17	NL	0.29
4/30/17	NO	0.34
4/30/17	NZ	0.43
4/30/17	PA	0.41
4/30/17	PE	0.51
4/30/17	PH	0.57
4/30/17	PL	0.46
4/30/17	PT	0.43
4/30/17	PY	0.44
4/30/17	SE	0.41
4/30/17	SG	0.49
4/30/17	SV	0.41
4/30/17	TR	0.46
4/30/17	TW	0.36
4/30/17	US	0.35
4/30/17	UY	0.48
5/7/17	AR	0.46
5/7/17	AT	0.38
5/7/17	AU	0.45
5/7/17	BE	0.34
5/7/17	BO	0.39
5/7/17	BR	0.48
5/7/17	CA	0.33
5/7/17	CH	0.38
5/7/17	CL	0.41
5/7/17	CO	0.49
5/7/17	CR	0.51
5/7/17	CZ	0.36
5/7/17	DE	0.34
5/7/17	DK	0.33
5/7/17	DO	0.46
5/7/17	EC	0.52
5/7/17	ES	0.4
5/7/17	FI	0.26
5/7/17	FR	0.3
5/7/17	GB	0.36
5/7/17	GLOBAL	0.39
5/7/17	GR	0.12
5/7/17	GT	0.41
5/7/17	HK	0.48
5/7/17	HN	0.42
5/7/17	HU	0.33
5/7/17	ID	0.45
5/7/17	IE	0.39
5/7/17	IS	0.17
5/7/17	IT	0.35
5/7/17	JP	0.2
5/7/17	MX	0.53
5/7/17	MY	0.47
5/7/17	NL	0.29
5/7/17	NO	0.34
5/7/17	NZ	0.43
5/7/17	PA	0.4
5/7/17	PE	0.48
5/7/17	PH	0.54
5/7/17	PL	0.44
5/7/17	PT	0.41
5/7/17	PY	0.43
5/7/17	SE	0.38
5/7/17	SG	0.46
5/7/17	SV	0.4
5/7/17	TR	0.45
5/7/17	TW	0.35
5/7/17	US	0.34
5/7/17	UY	0.46
5/14/17	AR	0.41
5/14/17	AT	0.31
5/14/17	AU	0.42
5/14/17	BE	0.29
5/14/17	BO	0.37
5/14/17	BR	0.46
5/14/17	CA	0.32
5/14/17	CH	0.33
5/14/17	CL	0.39
5/14/17	CO	0.47
5/14/17	CR	0.51
5/14/17	CZ	0.34
5/14/17	DE	0.3
5/14/17	DK	0.32
5/14/17	DO	0.42
5/14/17	EC	0.51
5/14/17	ES	0.36
5/14/17	FI	0.21
5/14/17	FR	0.28
5/14/17	GB	0.3
5/14/17	GLOBAL	0.37
5/14/17	GR	0.08
5/14/17	GT	0.4
5/14/17	HK	0.47
5/14/17	HN	0.4
5/14/17	HU	0.28
5/14/17	ID	0.44
5/14/17	IE	0.34
5/14/17	IS	0.1
5/14/17	IT	0.31
5/14/17	JP	0.21
5/14/17	MX	0.53
5/14/17	MY	0.45
5/14/17	NL	0.25
5/14/17	NO	0.3
5/14/17	NZ	0.41
5/14/17	PA	0.41
5/14/17	PE	0.47
5/14/17	PH	0.54
5/14/17	PL	0.39
5/14/17	PT	0.33
5/14/17	PY	0.36
5/14/17	SE	0.29
5/14/17	SG	0.46
5/14/17	SV	0.37
5/14/17	TR	0.43
5/14/17	TW	0.35
5/14/17	US	0.32
5/14/17	UY	0.41
5/21/17	AR	0.4
5/21/17	AT	0.32
5/21/17	AU	0.42
5/21/17	BE	0.27
5/21/17	BO	0.36
5/21/17	BR	0.46
5/21/17	CA	0.35
5/21/17	CH	0.3
5/21/17	CL	0.38
5/21/17	CO	0.45
5/21/17	CR	0.47
5/21/17	CZ	0.34
5/21/17	DE	0.28
5/21/17	DK	0.34
5/21/17	DO	0.41
5/21/17	EC	0.48
5/21/17	ES	0.38
5/21/17	FI	0.17
5/21/17	FR	0.22
5/21/17	GB	0.31
5/21/17	GLOBAL	0.37
5/21/17	GR	0.09
5/21/17	GT	0.39
5/21/17	HK	0.47
5/21/17	HN	0.36
5/21/17	HU	0.28
5/21/17	ID	0.43
5/21/17	IE	0.34
5/21/17	IS	0.14
5/21/17	IT	0.31
5/21/17	JP	0.2
5/21/17	MX	0.5
5/21/17	MY	0.45
5/21/17	NL	0.25
5/21/17	NO	0.31
5/21/17	NZ	0.41
5/21/17	PA	0.39
5/21/17	PE	0.47
5/21/17	PH	0.52
5/21/17	PL	0.39
5/21/17	PT	0.34
5/21/17	PY	0.34
5/21/17	SE	0.28
5/21/17	SG	0.46
5/21/17	SV	0.35
5/21/17	TR	0.42
5/21/17	TW	0.33
5/21/17	US	0.32
5/21/17	UY	0.39
5/28/17	AR	0.41
5/28/17	AT	0.26
